ts_code,date,open,high,low,close,pre_close,change,pct_chg,vol,amount,MA5,MA10,MA20,RSI,turnover_rate,volatility,MACD,Signal,Hist,revenue,net_profit,revenue_growth,net_profit_growth
001289.SZ,1970-01-01 00:00:00.020250122,14.75,14.89,14.71,14.77,14.81,-0.04,-0.2701,19249.52,28435.427,14.913999999999998,15.535,15.963,16.078431372549076,0.6769555456297527,0.01641804981717518,-0.35312135962220204,-0.1799486569793492,-0.17317270264285284,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250121,14.96,14.99,14.74,14.81,14.95,-0.14,-0.9365,22645.1,33553.658,14.813999999999998,15.401,15.886500000000002,17.716535433070945,0.6748921384368881,0.015849536128209687,-0.37873348929993966,-0.2197056234434673,-0.15902786585647236,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250120,15.1,15.27,14.88,14.95,15.09,-0.14,-0.9278,36159.73,54273.803,14.803999999999998,15.281,15.8085,15.040650406504028,0.6662464762235292,0.015802945472146186,-0.3833158303374855,-0.25242766482227097,-0.13088816551521454,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250117,14.91,15.09,14.82,15.09,14.97,0.12,0.8016,28509.27,42746.191,14.868,15.181999999999999,15.738999999999999,23.28767123287669,0.6669429329972348,0.01610993245131456,-0.37136962083314273,-0.2762160560244453,-0.09515356480869741,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250116,14.92,15.05,14.82,14.97,14.85,0.12,0.8081,28376.91,42390.29,14.918000000000001,15.056999999999999,15.680000000000001,22.56637168141593,0.6694200487894751,0.015709783722741903,-0.36735057212366407,-0.2944429592442891,-0.07290761287937497,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250115,14.92,14.97,14.68,14.85,14.94,-0.09,-0.6024,26131.07,38715.83,14.934000000000001,14.923999999999998,15.605500000000001,21.982758620689665,0.6749453647254883,0.01530458720137448,-0.36958806305357506,-0.3094719800061463,-0.06011608304742877,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250114,14.56,14.94,14.52,14.94,14.51,0.43,2.9635,37222.09,55036.62,14.959999999999999,14.887,15.5275,24.896265560165972,0.6763149699236617,0.015141068589539652,-0.35994976605503126,-0.3195675372159233,-0.04038222883910797,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250113,14.37,14.58,14.2,14.51,14.4,0.11,0.7639,25836.7,37330.213,14.872,14.838000000000003,15.4305,21.660649819494594,0.6921123112798739,0.016046726926696144,-0.38259839642876337,-0.3321737090584913,-0.05042468737027206,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250110,14.64,14.73,14.4,14.4,14.69,-0.29,-1.9741,26925.75,39198.002,14.734,14.800999999999998,15.316999999999998,16.788321167883197,0.6869163892588198,0.015376349657244983,-0.4047578829446081,-0.34669054383571474,-0.05806733910889339,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250109,14.76,14.85,14.63,14.69,14.82,-0.13,-0.8772,27946.65,41159.547,14.678,14.797999999999998,15.238499999999998,25.083612040133744,0.6789834202985763,0.015952179248246157,-0.3943727754234647,-0.35622699015326476,-0.03814578527019996,,,0.0,0.0
